timestamp,device,size,direction,protocol,burst,label
2025-12-18T18:10:18.139984,Lighting Controller,137,Device <-> Gateway,CoAP,Small bursts on state change,normal
2025-12-18T18:10:18.139993,Low-Cost IP Camera,867,Device -> Gateway -> Cloud,RTSP / TCP,Continuous during streaming,normal
2025-12-18T18:10:18.139999,Temperature Sensor,328,Device -> Gateway -> External,MQTT,High-frequency flooding,attack
2025-12-18T18:10:19.140587,Temperature Sensor,78,Device -> Gateway,MQTT,None,normal
2025-12-18T18:10:19.140661,Motion Sensor,73,Device -> Gateway,MQTT,Small bursts,normal
2025-12-18T18:10:19.140691,Smart Plug,128,Device <-> Gateway,CoAP / MQTT,Short bursts on toggle,normal
2025-12-18T18:10:19.140717,Lighting Controller,144,Device <-> Gateway,CoAP,Small bursts on state change,normal
2025-12-18T18:10:19.140743,Low-Cost IP Camera,1452,Device -> Gateway -> Cloud,RTSP / TCP,Continuous during streaming,normal
2025-12-18T18:10:19.140762,Temperature Sensor,252,Device -> Gateway -> External,MQTT,High-frequency flooding,attack
2025-12-18T18:10:20.141529,Temperature Sensor,61,Device -> Gateway,MQTT,None,normal
2025-12-18T18:10:20.141590,Motion Sensor,76,Device -> Gateway,MQTT,Small bursts,normal
2025-12-18T18:10:20.141613,Smart Plug,137,Device <-> Gateway,CoAP / MQTT,Short bursts on toggle,normal
2025-12-18T18:10:20.141634,Lighting Controller,84,Device <-> Gateway,CoAP,Small bursts on state change,normal
2025-12-18T18:10:20.141653,Low-Cost IP Camera,843,Device -> Gateway -> Cloud,RTSP / TCP,Continuous during streaming,normal
2025-12-18T18:10:20.141667,Temperature Sensor,534,Device -> Gateway -> External,MQTT,High-frequency flooding,attack
